Host Id,Host Since,Name,Neighbourhood,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating,Host_Since
25475429,2015-01-01T00:00:00Z,"HUGE 2 bdrm, Lorimer L Stop Wburg!",Brooklyn,Apartment,NA,Entire home/apt,11211,2,1,0,315,NA,2015-01-01
25468442,2015-01-01T00:00:00Z,Perfectly Located Brooklyn Studio,Brooklyn,Apartment,95,Entire home/apt,11238,1,1,10,98,95,2015-01-01
25472836,2015-01-01T00:00:00Z,Duplex garden brownstone apt,Brooklyn,Apartment,NA,Entire home/apt,11238,1,1,0,150,NA,2015-01-01
25475562,2015-01-01T00:00:00Z,3 Bd 1.5 bath Family Friendly apt,Manhattan,Apartment,NA,Entire home/apt,10025,2,1,0,200,NA,2015-01-01
25476493,2015-01-01T00:00:00Z,Quirky BrwnStone Studio in Harlem,Manhattan,Apartment,NA,Entire home/apt,10027,1,1,0,115,NA,2015-01-01
25478399,2015-01-01T00:00:00Z,"Rockaway Beach, New York City",Queens,Apartment,65,Entire home/apt,11693,2,1,5,150,68,2015-01-01
25468672,2015-01-01T00:00:00Z,Spacious Beautifully Furnished Room,Brooklyn,Apartment,NA,Private room,11225,1,1,0,45,NA,2015-01-01
25473311,2015-01-01T00:00:00Z,Huge room Empire view window,Queens,House,100,Private room,11104,1,1,1,65,100,2015-01-01
25518711,2015-01-02T00:00:00Z,Sunny Studio Apartment,Brooklyn,Apartment,90,Entire home/apt,11201,1,1,9,150,91,2015-01-02
25497255,2015-01-02T00:00:00Z,Cozy Fort Greene 1 Bedroom Suite,Brooklyn,Apartment,85,Entire home/apt,11205,2,1,19,160,89,2015-01-02
25512110,2015-01-02T00:00:00Z,WILLIAMSBURG APT 2 bed 1 1/2 bath,Brooklyn,Apartment,NA,Entire home/apt,11211,3,1,0,290,NA,2015-01-02
25503836,2015-01-02T00:00:00Z,Spacious master BDRM in heart of BK,Brooklyn,Apartment,100,Entire home/apt,11232,1,1,3,60,100,2015-01-02
25520865,2015-01-02T00:00:00Z,SUNNY HISTORIC BROWNSTONE.,Brooklyn,Apartment,NA,Entire home/apt,11249,2,1,0,150,NA,2015-01-02
25517227,2015-01-02T00:00:00Z,Williamsburg Loft!!! Brooklyn:)!!!!,Brooklyn,Loft,90,Entire home/apt,11206,2,1,37,99,94,2015-01-02
25494876,2015-01-02T00:00:00Z,Newly ren.  & clean Apt in LES,Manhattan,Apartment,100,Entire home/apt,10002,1,1,2,99,100,2015-01-02
25502378,2015-01-02T00:00:00Z,Cozy Studio in the East Village,Manhattan,Apartment,95,Entire home/apt,10003,1,1,12,110,97,2015-01-02
25495114,2015-01-02T00:00:00Z,spacious and beautiful apt,Manhattan,Apartment,NA,Entire home/apt,10009,1,1,0,190,NA,2015-01-02
25518844,2015-01-02T00:00:00Z,Charming West Village studio,Manhattan,Apartment,90,Entire home/apt,10011,1,1,10,230,91,2015-01-02
25503877,2015-01-02T00:00:00Z,Beautiful Greenwich Village Studio,Manhattan,Apartment,90,Entire home/apt,10012,1,1,19,180,90,2015-01-02
25479415,2015-01-02T00:00:00Z,Clean & Spacious 1BR UWS Apt,Manhattan,Apartment,NA,Entire home/apt,10023,1,1,0,260,NA,2015-01-02
25500607,2015-01-02T00:00:00Z,Spacious 1 BDRM Duplex,Manhattan,Apartment,100,Entire home/apt,10039,1,1,4,110,100,2015-01-02
25514505,2015-01-02T00:00:00Z,Cozy Lenox Hill Studio,Manhattan,Apartment,85,Entire home/apt,10065,1,1,9,120,89,2015-01-02
25516576,2015-01-02T00:00:00Z,Guests are always welcome,Brooklyn,Apartment,100,Private room,11207,1,1,1,69,100,2015-01-02
25512110,2015-01-02T00:00:00Z,Amazing Master Bedroom,Brooklyn,Apartment,NA,Private room,11211,1,1,0,100,NA,2015-01-02
25517905,2015-01-02T00:00:00Z,Beautiful Central Park View,Manhattan,Apartment,85,Private room,NA,1,1,12,99,87,2015-01-02
25482104,2015-01-02T00:00:00Z,Cosy Single Bedroom in Gramercy,Manhattan,Apartment,60,Private room,10010,1,1,2,69,60,2015-01-02
25514311,2015-01-02T00:00:00Z,"Murray Hill, Private One Bedroom",Manhattan,Apartment,100,Private room,10016,1,1,1,125,100,2015-01-02
25517905,2015-01-02T00:00:00Z,Amazing Central Park view,Manhattan,Apartment,75,Private room,10025,3,1,16,120,76,2015-01-02
25517905,2015-01-02T00:00:00Z,LOVE Central Park Room Private Bath,Manhattan,Apartment,85,Private room,10025,1,1,12,99,87,2015-01-02
25516046,2015-01-02T00:00:00Z,Quiet room in Harlem,Manhattan,Apartment,100,Private room,10035,1,1,2,65,100,2015-01-02
25479861,2015-01-02T00:00:00Z,A place to call home. A large room!,Queens,Apartment,NA,Private room,11104,1,1,1,79,NA,2015-01-02
25517905,2015-01-02T00:00:00Z,Charming New York,Queens,Apartment,70,Private room,11372,1,1,4,50,73,2015-01-02
25502436,2015-01-02T00:00:00Z,Private space in Brooklyn Heights,Brooklyn,Townhouse,NA,Shared room,11201,1,1,0,95,NA,2015-01-02
25521114,2015-01-02T00:00:00Z,Cozy apartment on East 122nd Street,Manhattan,Apartment,NA,Shared room,10035,1,1,1,55,NA,2015-01-02
25543902,2015-01-03T00:00:00Z,Williamsburg Loft with City Views,Brooklyn,Loft,NA,Entire home/apt,11249,2,1,0,155,NA,2015-01-03
25551160,2015-01-03T00:00:00Z,Romantic 1800's 3 Day Get Away NYC,Manhattan,Apartment,NA,Entire home/apt,10014,1,1,0,225,NA,2015-01-03
25525211,2015-01-03T00:00:00Z,Near 8 trains Room own WC/SpaShower,Brooklyn,Apartment,90,Private room,11201,1,1,3,118,90,2015-01-03
25552241,2015-01-03T00:00:00Z,Large Bedroom in Brooklyn Apartment,Brooklyn,Apartment,NA,Private room,11206,1,1,0,33,NA,2015-01-03
25545729,2015-01-03T00:00:00Z,awesome room w balcony in Brooklyn!,Brooklyn,Apartment,NA,Private room,11207,1,1,0,60,NA,2015-01-03
25545558,2015-01-03T00:00:00Z,Cozy Nook in Bushwick,Brooklyn,Apartment,100,Private room,11237,1,1,4,48,100,2015-01-03
25548541,2015-01-03T00:00:00Z,Stylish Apt w/ outdoor porch,Manhattan,Apartment,100,Private room,10002,1,1,1,98,100,2015-01-03
25561457,2015-01-03T00:00:00Z,Beautiful&Clean Full bed room,Manhattan,Apartment,100,Private room,10029,1,1,2,65,100,2015-01-03
25561457,2015-01-03T00:00:00Z,Beautiful&Clean LoftSingle room $65,Manhattan,Apartment,65,Private room,10029,1,1,4,65,65,2015-01-03
25561457,2015-01-03T00:00:00Z,beautiful&clean Queen room $70,Manhattan,Apartment,80,Private room,10029,1,1,5,70,80,2015-01-03
25561457,2015-01-03T00:00:00Z,Beautiful&Clean Single room2,Manhattan,Apartment,NA,Private room,10029,1,1,1,65,NA,2015-01-03
25561457,2015-01-03T00:00:00Z,Beautiul&Clean Single room$65,Manhattan,Apartment,75,Private room,10029,1,1,4,65,75,2015-01-03
25541453,2015-01-03T00:00:00Z,Charming furnished room near subway,Brooklyn,Bed & Breakfast,NA,Shared room,11210,1,1,0,70,NA,2015-01-03
25593193,2015-01-04T00:00:00Z,Spacious East Williamsburg Home,Brooklyn,Apartment,90,Entire home/apt,11206,1,1,10,140,94,2015-01-04
25612896,2015-01-04T00:00:00Z,Cozy Brooklyn 1br apartment,Brooklyn,Apartment,100,Entire home/apt,11215,2,1,1,75,100,2015-01-04
25603684,2015-01-04T00:00:00Z,"NYC LOFT 3BR NEAR TIMES SQ,EMPIREBD",Manhattan,Apartment,50,Entire home/apt,10001,3,1,2,399,50,2015-01-04
25603684,2015-01-04T00:00:00Z,"NYC LOFT 5BR NEAR TIMES SQ,EMPIREBD",Manhattan,Apartment,90,Entire home/apt,10001,9,1,10,650,92,2015-01-04
25603684,2015-01-04T00:00:00Z,"NYC Studio Near TIMES SQ, EMPIRE BD",Manhattan,Apartment,65,Entire home/apt,10001,3,1,5,195,68,2015-01-04
25581535,2015-01-04T00:00:00Z,Luxury Soho studio w/ large kitchen,Manhattan,Apartment,100,Entire home/apt,10012,1,1,5,350,100,2015-01-04
25605949,2015-01-04T00:00:00Z,SUPER COOL WEST VILLAGE APARTMENT,Manhattan,Apartment,NA,Entire home/apt,10014,1,1,0,280,NA,2015-01-04
25605887,2015-01-04T00:00:00Z,Beautiful One Bedroom Apartment,Manhattan,Apartment,NA,Entire home/apt,10019,1,1,0,450,NA,2015-01-04
25591354,2015-01-04T00:00:00Z,Amazing 1 bedroom in Manhattan!,Manhattan,Apartment,80,Entire home/apt,10022,3,1,2,180,80,2015-01-04
25612488,2015-01-04T00:00:00Z,Lincoln Center Studio on the Park,Manhattan,Apartment,100,Entire home/apt,10023,1,1,3,200,100,2015-01-04
25599949,2015-01-04T00:00:00Z,New Luxury Harlem 1BR  near subway,Manhattan,Apartment,100,Entire home/apt,10029,3,1,2,190,100,2015-01-04
25602417,2015-01-04T00:00:00Z,Modern One Bed Apt Near Time Square,Manhattan,Apartment,NA,Entire home/apt,10036,2,1,0,250,NA,2015-01-04
25597044,2015-01-04T00:00:00Z,Upper East Side 1 Bedroom,Manhattan,Apartment,NA,Entire home/apt,10075,1,1,0,200,NA,2015-01-04
25593214,2015-01-04T00:00:00Z,Great Apt in Battery Park City,Manhattan,Apartment,80,Entire home/apt,10280,2,1,2,185,80,2015-01-04
25606420,2015-01-04T00:00:00Z,Mint One Bedroom Apt (1st floor) -,Queens,Apartment,100,Entire home/apt,11367,1,1,5,90,100,2015-01-04
25604908,2015-01-04T00:00:00Z,Room in gorgeous 3 Bd brownstone,Brooklyn,Apartment,NA,Private room,11206,1,1,0,70,NA,2015-01-04
25605949,2015-01-04T00:00:00Z,SUPER COOL WEST VILLAGE APARTMENT,Manhattan,Apartment,80,Private room,10014,1,1,7,140,83,2015-01-04
25612960,2015-01-04T00:00:00Z,Private Room/Convenient/Clean,Manhattan,Apartment,NA,Private room,10037,1,1,0,72,NA,2015-01-04
25615380,2015-01-04T00:00:00Z,Apt. Próximo a estação de metrô,Manhattan,Apartment,NA,Private room,10040,1,1,0,70,NA,2015-01-04
