Host Id;Host Since;Name;Neighbourhood;Property Type;Review Scores Rating (bin);Room Type;Zipcode;Beds;Number of Records;Number Of Reviews;Price;Review Scores Rating
2078;2008-08-15T00:00:00Z;Colorful, quiet, & near the subway!;Brooklyn;Apartment;90;Private room;11201;1;1;80;90;94
2881;2008-09-10T00:00:00Z;Newly renovated historic brownstone;Brooklyn;Apartment;95;Private room;11216;1;1;32;75;95
3563;2008-10-10T00:00:00Z;16' x 11' Furnished BR with Balcony;Brooklyn;Apartment;100;Private room;11220;1;1;1;40;100
7356;2009-02-03T00:00:00Z;BlissArtsSpace!;Brooklyn;Apartment;90;Private room;11216;1;1;41;50;90
7356;2009-02-03T00:00:00Z;Private Bliss Art Space 2;Brooklyn;Apartment;90;Private room;11216;1;1;52;50;93
7949;2009-02-15T00:00:00Z;Creative Charm in Brooklyn;Brooklyn;Apartment;100;Private room;11238;1;1;4;65;100
11481;2009-03-26T00:00:00Z;Sunset Retreat - Charming Oasis;Brooklyn;Apartment;90;Entire home/apt;11220;1;1;79;90;90
12169;2009-04-03T00:00:00Z;Dream Come True, Too! Williamsburg;Brooklyn;Apartment;90;Private room;11211;1;1;43;89;94
12169;2009-04-03T00:00:00Z;Dream Come True! Williamsburg, BK;Brooklyn;Apartment;90;Private room;11211;1;1;91;99;93
20149;2009-06-04T00:00:00Z;Cool East Williamsburg Apartment;Brooklyn;Apartment;95;Private room;11206;1;1;46;40;96
20805;2009-06-09T00:00:00Z;Huge Brooklyn Room with Aussie Host;Brooklyn;Apartment;100;Private room;11225;1;1;12;85;100
28217;2009-07-28T00:00:00Z;Large sunny bedroom in Greenpoint;Brooklyn;Apartment;100;Private room;11222;1;1;2;55;100
29762;2009-08-05T00:00:00Z;NYC-Brooklyn #3 18 min to Manhattan;Brooklyn;Apartment;90;Private room;11233;1;1;98;39;90
30529;2009-08-08T00:00:00Z;Private room w/ separate entrance!;Brooklyn;Apartment;100;Private room;11238;1;1;2;84;100
32800;2009-08-20T00:00:00Z;Spacious&Pretty, heart of Brooklyn;Brooklyn;Apartment;100;Entire home/apt;11216;1;1;1;85;100
